countryname,code,cum_excess_who_2023release,cumexcesswho_per100k,excess_deaths_ihme,excess_death_rate_ihme,poptot2020,logmedianage,logpop20,malesper100females,pctpobciudades50khab,loggdppercapita2019,pctinformaloutput2019,pctgovthealthexpgdp2019_who,pctprivatehealthexpgdp2019,haqindex2019,avg_ihrcorecapacitiesscores2019,prematuredeathsncds_2019,pctobesemen2019,pctobesewomen2019,pctmen30_79hypertension2019,pctwomen30_79hypertension2019,diabetesprevalence2021
Afghanistan,AFG,65733.35799999999,171.51102,192000,211.9,38326027,2.9231615,17.461639,102.202031849572,23.850327,7.6400857,,.5,14.33,28.86635378,43,63.32,12.42,19.82,35.3,45.3,10.9
Algeria,DZA,77630.57543,180.15501,54400,65.09999999999999,43090987,3.3707383,17.578825,103.859172883093,27.724165,9.3611097,31.16307067871094,3.69,2.1800001,58.66345256,80,35.14,14.18,30.59,35,37.4,7.1
Angola,AGO,10995.61487,33.42234,64000,107.3,32898997,2.8213789,17.308952,97.6328350056348,76.76902,8.7951918,44.17840194702148,1.12,1.36,29.30257277,63,63.02,5.54,14.97,36.5,40.8,4.6
Argentina,ARG,126659.8807,282.04025,142000,166.8,44908441,3.462606,17.620136,98.05782096878779,86.995987,10.002053,24.25223350524902,6.08,3.96,59.87611148,61,26.91,31.45,33.34,54,41.2,5.4
Australia,AUS,1403.636732,5.4949379,-18100,-37.6,25544179,3.6349511,17.05592,98.44006820651749,74.402283,10.807282,13.78932285308838,7.54,2.6800001,90.17535057000001,92,18.56,29.53,28.09,32.3,26.3,6.4
Austria,AUT,15973.50789,179.45532,18300,107.5,8901106,3.7932394,16.001686,96.80754052838979,34.11533,10.929645,9.312885284423828,7.85,2.6400001,87.96615104999999,67,14.35,17.57,12.2,37.5,30.2,4.6
Azerbaijan,AZE,33620.74105,327.25604,53500,271.5,10273528,3.4781585,16.145081,97.4803043234718,38.913372,9.577899,53.42282867431641,1.07,3.1099999,53.28104234,87,34.78,17.22,31.67,39.6,42.1,5.6
Bangladesh,BGD,160749.1685,96.588402,413000,134.7,166426993,3.3141861,18.930067,98.5748831615321,25.031775,8.6065235,33.66743087768555,.45,1.8099999,44.09301188,67,42.91,2.37,6.18,23.5,34.2,14.2
Belarus,BLR,50836.73832,526.20337,85600,483.1,9661044,3.6963515,16.083612,85.8135340038442,59.624218,9.8667822,42.53923416137695,4.13,1.73,71.22982777,0,21.88,18.53,23.11,51.6,46.6,5.6
Belgium,BEL,20334.5953,176.19023,32800,146.6,11541273,3.7328963,16.26144,97.3459564505883,41.102135,10.858561,20.95722961425781,8.119999999999999,2.6700001,86.60318178999999,84,15.73,18.54,19.93,33.8,26.1,3.6
