countryname	code	cum_excess_who_2023release	cumexcesswho_per100k	excess_deaths_ihme	excess_death_rate_ihme	poptot2020	logmedianage	logpop20	malesper100females	pctpobciudades50khab	loggdppercapita2019	pctinformaloutput2019	pctgovthealthexpgdp2019_who	pctprivatehealthexpgdp2019	haqindex2019	avg_ihrcorecapacitiesscores2019	prematuredeathsncds_2019	pctobesemen2019	pctobesewomen2019	pctmen30_79hypertension2019	pctwomen30_79hypertension2019	diabetesprevalence2021
Algeria	DZA	77630.578	180.15501	54400	65.099998	43090988	3.3707383	17.578825	103.85918	27.724165	9.3611097	31.163071	3.6900001	2.1800001	58.663452	80	35.139999	14.18	30.59	35	37.400002	7.0999999
Argentina	ARG	126659.88	282.04025	142000	166.8	44908440	3.462606	17.620136	98.057823	86.995987	10.002053	24.252234	6.0799999	3.96	59.87611	61	26.91	31.450001	33.34	54	41.200001	5.4000001
Azerbaijan	AZE	33620.742	327.25604	53500	271.5	10273528	3.4781585	16.145081	97.480301	38.913372	9.577899	53.422829	1.0700001	3.1099999	53.281044	87	34.779999	17.219999	31.67	39.599998	42.099998	5.5999999
Belarus	BLR	50836.738	526.20337	85600	483.10001	9661044	3.6963515	16.083612	85.813538	59.624218	9.8667822	42.539234	4.1300001	1.73	71.229828	0	21.879999	18.530001	23.110001	51.599998	46.599998	5.5999999
Bosnia and Herzegovina	BIH	19557.16	585.37299	20900	333.89999	3340974	3.7495041	15.021773	96.739067	43.744656	9.5911531	30.301384	6.1300001	2.8	68.629112	35	22.309999	19.51	19.969999	46.900002	41.299999	9.1000004
Brazil	BRA	657425.88	309.28238	792000	186.89999	212564928	3.5115454	19.174759	96.708916	72.846069	9.5945902	38.896843	3.9200001	5.6900001	52.974815	87	37.939999	21.440001	28.709999	47.900002	42.099998	8.8000002
Bulgaria	BGR	60519.477	862.0719	82500	647.29999	7020235	3.7999735	15.764307	94.198097	60.409847	10.05493	31.799917	4.1900001	2.9000001	64.86158	72	20.51	21.780001	17.370001	49.400002	40.700001	7.4000001
Chile	CHL	38665.977	201.31517	37200	108.2	19206688	3.5667119	16.770769	98.553795	90.454964	10.119268	18.4098	4.77	4.5900002	70.882881	76	26.209999	30.459999	41.389999	39	33.099998	10.8
Colombia	COL	162218.58	320.48221	179000	201.2	50617028	3.4719665	17.739799	97.525185	80.030281	9.5898809	34.570278	5.4400001	2.3399999	61.095955	69	32.610001	16.540001	27.030001	31.1	30.799999	8.3000002
Costa Rica	CRI	5442.3872	106.60146	6220	70	5105359	3.5145261	15.445802	100.32384	41.160553	9.9435759	24.954882	5.2399998	1.98	64.682434	77	33.860001	23.290001	35.299999	36	39.400002	8.8000002
Croatia	HRV	18139.047	440.84177	22900	285.60001	4114639	3.7841897	15.230062	94.592888	40.351601	10.287143	29.504431	5.5500002	1.25	81.398987	78	15.77	30.299999	25.57	51.400002	45.299999	4.8000002
Dominican Republic	DOM	9022.0869	82.473732	20800	100.7	10939347	3.3178158	16.207876	101.16349	84.764664	9.8075857	28.875881	2.5899999	1.65	45.393059	55	39.439999	21.299999	32.919998	49	49.200001	10.5
Ecuador	ECU	79581.445	455.08496	112000	333.39999	17487164	3.3357697	16.676977	100.02068	45.351837	9.3405104	31.891981	4.8699999	2.9000001	52.895473	77	36.349998	19.709999	30.1	29.200001	25.1	4.4000001
Egypt	EGY	284786.16	267.30765	265000	133.3	106538720	3.2308044	18.484018	102.37623	42.092476	9.3219442	31.405272	1.3	3.3	51.555218	83	47.880001	29.9	54.759998	35.599998	40.700001	20.9
El Salvador	SLV	17500.768	278.63373	26900	226.8	6280922	3.3178158	15.653028	91.022842	51.538517	9.107358	42.06427	4.71	4.0999999	54.720005	89	34.349998	21.41	35.349998	31.4	33.599998	6.3000002
Georgia	GEO	22993.957	610.05151	15800	233.10001	3769183	3.6558397	15.142369	88.912544	43.325119	9.6150894	60.823574	2.72	3.9400001	57.713451	58	20.389999	30.360001	33.48	46.5	42.299999	5.6999998
Guatemala	GTM	49056.699	284.69742	51100	175.7	17231172	3.1311369	16.662231	98.133286	76.239166	9.0678205	48.31255	2.3699999	3.8	43.623695	53	50.119999	19.74	29.200001	31.5	32.599998	13.1
Honduras	HND	19906.131	198.23289	55400	297.10001	10041790	3.2148678	16.122267	102.12621	59.205448	8.6329584	44.220119	2.8699999	4.4299998	40.02216	60	42.73	21.139999	33.560001	33.200001	34.400002	5.0999999
Hungary	HUN	39018.895	399.36966	53800	297.79999	9770120	3.7704594	16.094839	91.85955	58.324162	10.393574	22.35244	4.29	1.99	74.373306	68	22.049999	32.290001	26.65	55.900002	40.900002	7
Iran	IRN	295532.38	339.73077	274000	160.5	86990160	3.4781585	18.281305	102.38499	66.645798	9.5528202	18.133411	2.79	3.48	63.700115	0	40.650002	16.629999	29.559999	26.6	25.799999	9.1000004
Iraq	IRQ	44847.047	106.66959	183000	280.10001	42042952	2.9957323	17.554203	100.06684	56.427769	9.2398329		2.0999999	2.1600001	57.449688	58	52.220001	30.77	46.09	48.400002	47.700001	10.7
Jordan	JOR	16632.854	153.76477	27000	114.4	10817077	3.1441522	16.196636	108.02098	61.981976	9.1644182	18.260439	3	4	65.102127	43	41.400002	32.310001	44.07	39.599998	35.700001	15.4
Kazakhstan	KAZ	83268.68	441.48471	49000	141	18861056	3.421	16.752609	92.380653	49.533478	10.179292	37.2346	1.67	1.12	59.467457	82	34.119999	16.290001	18.389999	40.900002	42.5	6.5999999
Kuwait	KWT	6548.4214	146.55086	3560	41.099998	4468361	3.5174978	15.312532	160.79962	86.65564	10.764579	20.932703	4.7199998	0.63999999	76.981583	76	65.82	37.59	48.169998	43.5	35.200001	24.9
Lebanon	LBN	19546.904	343.25803	36100	416.20001	5694522	3.4372079	15.555016	94.822418	36.218407	9.7510471	32.93576	4.29	4.4000001	68.247208	73	35.740002	27.709999	29.459999	42.099998	34.200001	8
Malaysia	MYS	24887.402	75.408058	48100	81.400002	33003638	3.3978584	17.312128	104.89712	64.60244	10.228263	28.884832	2.01	1.83	55.358902	92	42.959999	15.96	24.49	40.5	41	19
Mexico	MEX	612370.06	487.5152	798000	325.10001	125610464	3.3775876	18.648697	95.757538	79.507278	9.9067078	29.420538	2.6800001	2.77	52.526737	83	40.740002	29.309999	38.240002	32.799999	31.4	16.9
Moldova	MDA	16341.814	528.00281	16500	245.2	3095024	3.6270041	14.945306	90.59864	35.519543	9.4750233	39.778454	3.8800001	2.6199999	63.694637	60	33.91	20.25	24.940001	49.299999	46.900002	5.5999999
Mongolia	MNG	796.17395	24.374191	5600	90.900002	3266463	3.3534067	14.999218	98.755455	53.381733	9.4301195	16.382996	2.1199999	2.3699999	47.38327	84	56	19.280001	24.52	45	40.700001	6.9000001
Morocco	MAR	64532.941	176.85663	157000	228.3	36488844	3.3877745	17.412518	101.438	53.711109	9.0140333	33.068451	2.02	2.97	48.549126	75	43.349998	12.49	27.91	35	35.599998	9.1000004
Nicaragua	NIC	17134.453	255.36821	33400	274.39999	6709705	3.3068867	15.719066	97.181343	44.303768	8.5846624	42.971867	5.2800002	3.29	52.235687	78	37.990002	26.07	36.849998	34.5	36.900002	9.3000002
Oman	OMN	8476.875	184.71614	12300	141.5	4589136	3.4242628	15.339202	174.28989	78.146477	10.428634	20.462591	3.3299999	0.47999999	67.47657	86	40.439999	24.719999	37.709999	48.299999	38.799999	13.8
Panama	PAN	7491.4141	175.62636	10200	131.5	4265541	3.3911471	15.26608	100.21149	58.119041	10.359126	56.995338	4.8000002	3.6700001	59.333553	76	32.720001	26.379999	39.889999	36.799999	35.299999	8.1999998
Paraguay	PRY	19795.049	301.15518	22500	159.2	6573039	3.2771447	15.698487	100.94912	50.986397	9.5185394	35.873554	3.3199999	3.8399999	51.651932	65	43.139999	27.209999	33.41	61.599998	50.900002	7.5
Peru	PER	224190.78	677.51251	349000	528.59998	33090280	3.3707383	17.314751	98.257523	62.399796	9.4521227	55.549747	3.26	1.92	60.00285	48	38.110001	20.040001	28.540001	22.799999	18.4	4.8000002
Poland	POL	163144.38	423.99429	214000	297.20001	38477968	3.7328963	17.465597	93.749062	37.277878	10.409092	24.571747	4.6100001	1.85	73.198715	66	22.17	28.57	22.75	55.5	42.700001	6.8000002
Romania	ROU	113399.66	581.8432	119000	328.70001	19489730	3.7612002	16.785398	93.820992	37.511799	10.309164	30.074993	4.5799999	1.13	69.680725	67	20.870001	32.240002	27.870001	52.599998	43.900002	6.5
Russia	RUS	1093164.5	749.9671	1070000	374.60001	145761664	3.6788292	18.797483	86.740936	62.800579	10.212976	41.780373	3.45	2.2	67.64389	99	25.719999	21.709999	24.41	47.299999	41.200001	5.5999999
Saudi Arabia	SAU	30270.73	83.551628	32900	46.400002	36229972	3.462606	17.405397	138.98813	67.563759	10.713417	17.355995	4.0300002	1.4400001	63.332336	75	56.09	35.41	45.419998	36.299999	30.200001	18.700001
Serbia	SRB	53166.402	720.01556	37400	228.89999	7384063	3.7184381	15.814835	92.130806	45.681179	9.8152075		5.0599999	3.6099999	72.201355	69	22.129999	23.139999	18.719999	49.900002	42.099998	9.1000004
Slovakia	SVK	26140.543	478.97928	25400	250.39999	5457552	3.7184381	15.512511	95.420769	25.875185	10.372662	16.598335	5.4499998	1.47	73.433998	73	23.209999	27.700001	21.790001	47.400002	38	5.8000002
South Africa	ZAF	246801.89	422.12787	302000	293.20001	58466144	3.3068867	17.883959	94.406937	38.38031	9.5361996	27.718552	4.8099999	3.4300001	44.564125	70	56.77	13.98	44.080002	43.799999	44.299999	10.8
Thailand	THA	73734.625	103.28515	35200	24.9	71389376	3.6913764	18.08366	94.913162	31.761707	9.7983313	47.129974	2.72	1.0700001	62.542892	85	33.91	10.35	16.52	29.1	29.200001	9.6999998
Tunisia	TUN	35200.414	290.76233	72500	324.20001	12106251	3.487375	16.309233	97.964943	49.707611	9.3147745	36.790955	3.5699999	2.45	63.870934	71	32.630001	17.84	32.490002	34.5	34.799999	9.6000004
Turkey	TUR	210153.64	250.74506	185000	118.6	83811680	3.4531572	18.244083	100.60608	105.313	10.245305	31.019638	3.3900001	0.98000002	64.768456	77	27.290001	24.27	39.73	30.799999	34.400002	14.5
Turkmenistan	TKM	3630.3447	58.512745	15200	160.60001	6204366	3.2921262	15.640764	98.135345	34.366879	9.6153126		1.01	4.6700001	48.671684	69	55.139999	17.280001	22.540001	37.599998	40.200001	6.6999998
Ukraine	UKR	187836.16	426.02225	181000	221.7	44090692	3.7232809	17.601759	86.305519	49.367607	9.4575872	46.562874	3.1800001	3.9100001	63.052055	66	23.1	18.83	26.32	44.5	41.599998	5.5999999
United Arab Emirates	ARE	4845.0298	52.392578	9340	91.300003	9247550	3.5263605	16.039869	232.80983	80.391266	11.181392	29.394257	2.25	2.1400001	58.830688	96	75.43	28.35	39.27	43.900002	34.5	16.4
Uruguay	URY	3634.1267	106.00465	9820	155.39999	3428271	3.5723457	15.047566	93.776245	69.450523	10.054344	47.536205	6.25	3.1400001	64.65892	84	20.780001	27.98	32.939999	46	38.900002	9
Uzbekistan	UZB	30620.254	92.1091	69100	112.3	33243464	3.3393221	17.319368	100.08305	25.732716	8.9022036		2.26	3.1700001	49.010193	57	50.639999	23.65	30.450001	46.700001	44.599998	7
